question_id,type,total_responses,options
1,single,750,"选项 A (35%),选项 B (25%),选项 C (20%),选项 D (20%)"
2,multiple,750,"技术认知 (40%),应用场景 (35%),发展前景 (25%),存在问题 (15%)"
3,multiple,750,"虚拟现实技术 (45%),动作捕捉技术 (35%),人工智能 (30%),大数据 (20%)"
4,multiple,750,"观众体验 (50%),文化传播 (40%),艺术创新 (30%),经济效益 (15%)"
5,single,750,"非常了解 (15%),比较了解 (30%),一般了解 (35%),不太了解 (20%)"
6,single,750,"非常支持 (40%),比较支持 (35%),一般 (15%),不太支持 (10%)"
7,scale,750,"1 (10%),2 (15%),3 (30%),4 (30%),5 (15%)"
8,scale,750,"1 (5%),2 (10%),3 (25%),4 (35%),5 (25%)"
9,scale,750,"1 (15%),2 (20%),3 (25%),4 (25%),5 (15%)"
10,scale,750,"1 (10%),2 (15%),3 (30%),4 (25%),5 (20%)"
11,multiple,750,"技术成本 (35%),技术成熟度 (30%),人才缺乏 (25%),政策支持 (20%)"
12,scale,750,"1 (20%),2 (25%),3 (20%),4 (20%),5 (15%)"
13,multiple,750,"内容创新 (45%),形式创新 (35%),技术创新 (25%),传播创新 (15%)"
14,single,750,"非常必要 (45%),比较必要 (35%),一般 (15%),不太必要 (5%)"
15,scale,750,"1 (10%),2 (15%),3 (25%),4 (30%),5 (20%)"
16,scale,750,"1 (15%),2 (20%),3 (30%),4 (25%),5 (10%)"
17,scale,750,"1 (5%),2 (10%),3 (20%),4 (40%),5 (25%)"
18,scale,750,"1 (10%),2 (15%),3 (25%),4 (30%),5 (20%)"
24,scale,750,"1 (8%),2 (12%),3 (25%),4 (35%),5 (20%)"
25,short_answer,750,
26,short_answer,750,
27,short_answer,750,
28,short_answer,750,
